"","IB_S_Pos","IB_N_Pos","IB_S_Neg","IB_N_Neg","MB_Pos","MB_Neg"
"IB_S_Pos",1,0.337444259707529,-0.303381799909223,-0.0419248243667067,0.386354344880937,-0.298892069663261
"IB_N_Pos",0.337444259707529,1,-0.141325647924124,-0.213301463186061,0.233604815826612,-0.262293800803277
"IB_S_Neg",-0.303381799909223,-0.141325647924124,1,0.486292472218713,-0.257698461522256,0.480140959782092
"IB_N_Neg",-0.0419248243667067,-0.213301463186061,0.486292472218713,1,-0.163076204039198,0.203964191125651
"MB_Pos",0.386354344880937,0.233604815826612,-0.257698461522256,-0.163076204039198,1,-0.338881545786443
"MB_Neg",-0.298892069663261,-0.262293800803277,0.480140959782092,0.203964191125651,-0.338881545786443,1
