"","IB_S_Pos","IB_N_Pos","IB_S_Neg","IB_N_Neg","MB_Pos","MB_Neg"
"IB_S_Pos",0,0.197620268859184,-0.116094544137551,0,0.238325269570404,-0.0699184586456144
"IB_N_Pos",0.197620268859184,0,0,-0.0821270953285443,0.0526803472989989,-0.0992774202690759
"IB_S_Neg",-0.116094544137551,0,0,0.363688356703899,-0.0401983399678271,0.324104578622945
"IB_N_Neg",0,-0.0821270953285443,0.363688356703899,0,0,0
"MB_Pos",0.238325269570404,0.0526803472989989,-0.0401983399678271,0,0,-0.168993000475717
"MB_Neg",-0.0699184586456144,-0.0992774202690759,0.324104578622945,0,-0.168993000475717,0
