"","low M","low SD","low Var","high M","high SD","high Var"
"MHC_Tot",25.96,8.41,70.66,53.51,4.11,16.87
"Pos_Soc",2.26,0.6,0.37,2.77,0.57,0.33
"Pos_nonsoc",3.29,0.65,0.42,3.76,0.64,0.41
"Neg_soc",3.55,0.88,0.78,3.15,0.82,0.68
"Neg_nonsoc",3.29,0.66,0.43,3.12,0.76,0.58
"MEM_pos",5.5,3,9.01,7.87,2.52,6.37
"MEM_neg",3.69,2.74,7.48,1.62,1.75,3.07
