"","MH","IB_S_Pos","IB_N_Pos","IB_S_Neg","IB_N_Neg","MB_Pos","MB_Neg"
"MH",1,0.370837186686955,0.327359300306934,-0.251558154890247,-0.145049289368875,0.397578216368727,-0.433436303911926
"IB_S_Pos",0.370837186686955,1,0.409343310117146,-0.256126031975829,-0.000637044764505585,0.303220917500831,-0.277188550449843
"IB_N_Pos",0.327359300306934,0.409343310117146,1,-0.17495108945393,-0.191082743206458,0.209329515450056,-0.260437624870875
"IB_S_Neg",-0.251558154890247,-0.256126031975829,-0.17495108945393,1,0.508060251493413,-0.240716108914234,0.416975243463775
"IB_N_Neg",-0.145049289368875,-0.000637044764505585,-0.191082743206458,0.508060251493413,1,-0.150988409112571,0.238741541506276
"MB_Pos",0.397578216368727,0.303220917500831,0.209329515450056,-0.240716108914234,-0.150988409112571,1,-0.290894470902963
"MB_Neg",-0.433436303911926,-0.277188550449843,-0.260437624870875,0.416975243463775,0.238741541506276,-0.290894470902963,1
